epoch,accuracy,loss,train_acc,train_loss,val_accuracy,val_loss
0,0.7305333614349365,0.921988844871521,0.8967499732971191,0.3842201232910156,0.9325000047683716,0.26319944858551025
1,0.892549991607666,0.3798425495624542,0.9238666892051697,0.2740895450115204,0.9495000243186951,0.18437977135181427
2,0.9158999919891357,0.29444950819015503,0.9388833045959473,0.22323374450206757,0.9570000171661377,0.15127600729465485
3,0.9271000027656555,0.2547485828399658,0.9470499753952026,0.19050079584121704,0.9599999785423279,0.13195988535881042
4,0.9354166388511658,0.22372978925704956,0.9531833529472351,0.16745877265930176,0.9660000205039978,0.11712206155061722
5,0.9426000118255615,0.1998784840106964,0.9587666392326355,0.14964598417282104,0.968999981880188,0.10756827145814896
6,0.9484833478927612,0.18227043747901917,0.9618666768074036,0.13527624309062958,0.9714999794960022,0.09839115291833878
7,0.9511333107948303,0.17040163278579712,0.9656500220298767,0.1231875792145729,0.9725000262260437,0.09140624850988388
8,0.9542333483695984,0.15696518123149872,0.9677333235740662,0.11486945301294327,0.9739999771118164,0.08822795003652573
9,0.9570833444595337,0.1464928537607193,0.9703166484832764,0.10570570826530457,0.9764999747276306,0.08221060782670975
